Term    ScopeNote   Use for Use Broader Narrower    Related Reference   Class   Code
"Aboriginal Employment Scheme"	""#9""	""#9"EMPLOYMENT CONDITIONS"#9""#9""	"RMO Keyword AAA"	"subject descriptor"	""
"Acceptances"	""#9""	""#9"CELEBRATIONS|CEREMONIES|CONFERENCES|EXHIBITIONS|FUNCTIONS (social)|VISITS"#9""#9""	"RMO Keyword AAA"	"subject descriptor"	""
"Access"	""#9"Access Conditions|Entry (to premises, etc)"	""#9"CUSTOMER SERVICE|DATA ADMINISTRATION|PRIVACY|SECURITY"#9""#9"After Hours Support|Management Information Systems (MIS)"	"RMO Keyword AAA"	"subject descriptor"	""
"Access and Equity"	"Provision of service and access that is fair and impartial. Includes programs designed to improve access to services provided by the organisation for disadvantaged clients and employees."#9""	""#9"COMMITTEES|GRIEVANCES|IMPLEMENTATION|MEETINGS|PLANNING|POLICY|PROCEDURES"#9""#9"Affirmative Action|Anti-Discrimination|Disability Plans|Equal Employment Opportunity (EEO)"	"RMO Keyword AAA"	"subject descriptor"	""
"Access Conditions"	""	""#9"Access"#9""#9""#9""	"RMO Keyword AAA"	"non-preferred"	""
"Accident Report Forms"	""#9""	""#9"ACCIDENTS|CLAIMS|PROCEDURES"#9""#9""	"RMO Keyword AAA"	"subject descriptor"	""
"ACCIDENTS"	"The activities involved in dealing with mishaps causing injury or damage. Includes damage or injury to the organisation's property or member of staff incurred while coming to, at, or leaving work, or to the general public or visitors whilst on the organisation's premises. Also includes measures to prevent accidents occurring.

See COMPENSATION - CASES for situations where personal injury may result in a compensation claim, and the case should be handled on one file for legislative or operational reasons. Copy accident information and place on compensation file. Add the name of the individual as free text. If the individual is not an employee of the organisation, add the subject descriptor Visitors, then the name of the individual as free text.

See INSURANCE for the process of taking out insurance premiums.

See CLAIMS for managing the damage or destruction of property caused by accidents.
"#9"Injuries"	""#9"COMPENSATION|FLEET MANAGEMENT|OCCUPATIONAL HEALTH & SAFETY (OH&S)"#9"Accident Report Forms|Vehicles"#9""	"RMO Keyword AAA"	"activity descriptor"	""
"Accountable Books & Forms"	"Documents including books and forms, which reflect that items have been sold or purchased and are therefore subject to audit regulations."#9""	""#9"ACCOUNTING|AUDIT"#9""#9""	"RMO Keyword AAA"	"subject descriptor"	""
"ACCOUNTING"	"The process of collecting, recording, classifying, summarising and analysing information on financial transactions, and subsequently on the financial position and operating results of the organisation. Includes financial statements, and the implementation, maintenance, monitoring and auditing of the organisation's accounting systems and internal controls.

See FINANCIAL STATEMENTS for annual statements of accounts.

Tip: Classify documentation relating to approvals for purchases etc. under the relevant keyword.
"#9"Bills (accounts)|Funds (money)"	""#9"FINANCIAL MANAGEMENT"#9"Accountable Books & Forms|Accrual|Advances (financial)|Arrears (payment)|Balance Sheets|Bank Accounts|Banking|Cash Books|Cheques|Consolidated Capital Fund (capital assets)|Consolidated Recurrent Fund (non-capital assets)|Consolidated Returns|Consolidated Revenue|Debts|Expenditure|Invoices|Ledgers|Misappropriations|Petty Cash (accounting)|Postal Expenses|Public Moneys|Receipts|Reconciliations|Remittances|Revenue|Signatories|Tax|Vouchers"#9"AUTHORISATION|BUDGETING|FINANCIAL STATEMENTS|PAYMENTS|PROCEDURES|SALARIES"	"RMO Keyword AAA"	"activity descriptor"	""
"Accreditation"	""#9""	""#9"COMPLIANCE"#9""#9"Quality"	"RMO Keyword AAA"	"subject descriptor"	""
"Accrual"	""#9""	""#9"ACCOUNTING|LEAVE"#9""#9""	"RMO Keyword AAA"	"subject descriptor"	""
"Accuracy Monitors"	"Method of checking that a product or service conforms to the specified requirements. Includes activities which encompass steps taken to improve the accuracy of data to ensure the value of the data."#9""	""#9"DATABASE MANAGEMENT|IMPLEMENTATION|OPERATIONS|PLANNING"#9""#9""	"RMO Keyword AAA"	"subject descriptor"	""
"ACQUISITION"	"The process of gaining ownership or use of property and other items required in the conduct of business through purchase or requisitions. Add the  type of acquisition as free text.

See LEASING for leasing items, equipment, accommodation or property from another organisation.

See DONATIONS for the acquisition of property and items by donation.

See CONTRACTING-OUT for obtaining the services of consultants.

See TENDERING for the process of receiving and assessing tenders. Once the tender has been decided, the activity descriptor ACQUISITION may be used."#9""	""#9"EQUIPMENT & STORES|FINANCIAL MANAGEMENT|FLEET MANAGEMENT|INFORMATION MANAGEMENT|PROPERTY MANAGEMENT|TECHNOLOGY & TELECOMMUNICATIONS"#9"Annual Report|Appliances|Brochures|Building Materials|Catalogues|Exchanges|First Aid|Fuel|Furnishings|Furniture|Hardware (computers)|Inter-Library Loans (ILL)|Internet|Intranet|LAN|Land Titles|Library Materials|Listservs|Loans|Manuals|Newscuttings|Newsletters|Order Forms|Publications|Purchases|Real Estate|Records|Requisitions|Software|Stationery|Subscriptions|Thesaurus|Vehicles|Voice Mail|WAN"#9"LEASING|TENDERING"	"RMO Keyword AAA"	"activity descriptor"	""
"ACT"	"An abbreviation for Australian Capital Territory. Permitted abbreviation."#9"Australian Capital Territory (ACT)"	""#9"COMPLIANCE|LEGISLATION"#9""#9""	"RMO Keyword AAA"	"subject descriptor"	""
"Acts (parliamentary)"	"Add the name and year of the Act as free text."#9"Acts of Parliament"	""#9"ADVICE|COMPLIANCE|LEGISLATION"#9""#9""	"RMO Keyword AAA"	"subject descriptor"	""
"Acts of Parliament"	""	""#9"Acts (parliamentary)|LEGISLATION"#9""#9""#9""	"RMO Keyword AAA"	"non-preferred"	""
"Additions"	""	""#9"Extensions"#9""#9""#9""	"RMO Keyword AAA"	"non-preferred"	""
"Address Lists"	"See Christmas cards for address lists for Christmas cards."#9"Addresses (postal)"	""#9"CONTRACTING-OUT|DISTRIBUTION|EMPLOYMENT CONDITIONS|GREETINGS|REPRESENTATIVES"#9""#9""	"RMO Keyword AAA"	"subject descriptor"	""
"Addresses (postal)"	""	""#9"Address Lists"#9""#9""#9""	"RMO Keyword AAA"	"non-preferred"	""
"ADDRESSES (presentations)"	"The activity of giving addresses for training, professional, community relations or sales purposes. Includes speeches and multi-media presentations. Add the title of the address as free text.

See PUBLICATION for the publication of addresses by the organisation.

See TRAINING for training the organisation's personnel."#9"Minister's Addresses/Speeches|Premier's Addresses/Speeches|Speeches|Talks (lectures)"	""#9"COMMUNITY RELATIONS|GOVERNMENT RELATIONS|STAFF DEVELOPMENT"#9"Seminars"#9"CELEBRATIONS|CEREMONIES|FUNCTIONS (social)|PUBLICATION"	"RMO Keyword AAA"	"activity descriptor"	""
"Addressing (correspondence)"	""#9""	""#9"CORPORATE STYLE"#9""#9""	"RMO Keyword AAA"	"subject descriptor"	""
"Administrative Appeals Tribunal"	""#9""	""#9"APPEALS (decisions)|CORRUPTION|LITIGATION"#9""#9""	"RMO Keyword AAA"	"subject descriptor"	""
"Administrative Structure"	""	""#9"ESTABLISHMENT"#9""#9""#9""	"RMO Keyword AAA"	"non-preferred"	""
"ADR"	"An abbreviation for Alternate Dispute Resolution. "	""#9"Alternate Dispute Resolution (ADR)"#9""#9""#9""	"RMO Keyword AAA"	"non-preferred"	""
"Ads"	""	""#9"Advertising"#9""#9""#9""	"RMO Keyword AAA"	"non-preferred"	""
"Advances (financial)"	""#9""	""#9"ACCOUNTING|ALLOWANCES"#9""#9""	"RMO Keyword AAA"	"subject descriptor"	""
"Advertisements"	""	""#9"Advertising"#9""#9""#9""	"RMO Keyword AAA"	"non-preferred"	""
"Advertising"	"Tip: Add the subject descriptor Campaigns for advertising campaigns."#9"Ads|Advertisements|Promotions|Publicity"	""#9"CONTRACTING-OUT|MARKETING|PLANNING|POLICY|RECRUITMENT"#9""#9"Brochures|Campaigns"	"RMO Keyword AAA"	"subject descriptor"	""
"ADVICE"	"The activities associated with offering opinions by or to the organisation as to an action or judgement. Includes the process of advising.  

See PERSONNEL - COUNSELLING for advice given to individuals on personnel matters.

See GOVERNMENT RELATIONS - REPORTING where the organisation is responding to the Government's request for advice or comments.

Tip: LEGAL SERVICES - ADVICE may be used for legal advice furnished to the organisation by external and internal sources."#9"Advisings (legal opinions)|Consultations (advice)|Crown Solicitor's Advisings|Guidance (advice to/from departments)|Legal Matters|Opinions"	""#9"COMPENSATION|FINANCIAL MANAGEMENT|GOVERNMENT RELATIONS|INDUSTRIAL RELATIONS|LEGAL SERVICES|TECHNOLOGY & TELECOMMUNICATIONS"#9"Acts (parliamentary)|Bills (parliamentary)|By-laws|Freedom of Information (FOI)|Loans|Ministerial Certificates|Unions"#9"JOINT VENTURES|LIAISON"	"RMO Keyword AAA"	"activity descriptor"	""
"Advisings (legal opinions)"	""	""#9"ADVICE"#9""#9""#9""	"RMO Keyword AAA"	"non-preferred"	""
"Advisors (external to the agency)"	""	""#9"Consultants"#9""#9""#9""	"RMO Keyword AAA"	"non-preferred"	""
"Advisory Committees"	""	""#9"COMMITTEES"#9""#9""#9""	"RMO Keyword AAA"	"non-preferred"	""
"Advisory Councils"	""	""#9"COMMITTEES"#9""#9""#9""	"RMO Keyword AAA"	"non-preferred"	""
"Affirmative Action"	"Taking positive steps by means of legislative reform and management programs, in order to incorporate equity principles and practices and evaluate outcomes for fair employment procedures and outcomes for all employees of the organisation."#9""	""#9"COMMITTEES|COMPLIANCE|PLANNING|POLICY|PROCEDURES|REPORTING"#9""#9"Access and Equity|Discrimination|Equal Employment Opportunity (EEO)|Ethnic Affairs"	"RMO Keyword AAA"	"subject descriptor"	""
"After Hours Support"	""#9""	""#9"CUSTOMER SERVICE|OPERATIONS|SECURITY"#9""#9"Access|Help/Information Desks"	"RMO Keyword AAA"	"subject descriptor"	""
"Agenda"	""#9""	""#9"COMMITTEES|MEETINGS"#9""#9""	"RMO Keyword AAA"	"subject descriptor"	""
"AGREEMENTS"	"The processes associated with the establishment, maintenance, review and negotiation of agreements.

See JOINT VENTURES for agreements relating to joint ventures.

See Contracts for formal agreements. 

See Service Agreements for service agreements.

See Bonds for monetary agreements.

See PERSONNEL - EMPLOYMENT CONDITIONS - Performance Agreements for performance agreements.

Tip: Add the name of the agreement or parties to the agreement as free text."#9"Settlements (strikes)"	""#9"COMPENSATION|EQUIPMENT & STORES|GOVERNMENT RELATIONS|INDUSTRIAL RELATIONS|LEGAL SERVICES|PUBLICATION|STRATEGIC MANAGEMENT"#9"Awards (industrial)|Conciliation|Determinations|Ethnic Affairs|Master Copies|Sponsorship|Unions"#9"JOINT VENTURES"	"RMO Keyword AAA"	"activity descriptor"	""
"Agreements (bonds)"	""	""#9"Bonds (agreements)"#9""#9""#9""	"RMO Keyword AAA"	"non-preferred"	""
"Agreements (contracts)"	""	""#9"Contracts"#9""#9""#9""	"RMO Keyword AAA"	"non-preferred"	""
"Aids"	"Props or devices used to assist training."#9""	""#9"TRAINING"#9""#9""	"RMO Keyword AAA"	"subject descriptor"	""
"Air Conditioning"	""#9"Temperature Control"	""#9"INSTALLATION|MAINTENANCE"#9""#9""	"RMO Keyword AAA"	"subject descriptor"	""
"Alarms"	""#9""	""#9"SECURITY"#9""#9""	"RMO Keyword AAA"	"subject descriptor"	""
"Allegations"	""#9""	""#9"GRIEVANCES|PUBLIC REACTION"#9""#9""	"RMO Keyword AAA"	"subject descriptor"	""
"ALLOCATION"	"The process of assigning of money, items, or equipment to employees or organisational units.

See FINANCIAL MANAGEMENT - GRANT FUNDING for allocation of money to the organisation in the form of grants.

Tip: FINANCIAL MANAGEMENT - ALLOCATION may be used for Treasury allocations in response to the organisation's budget request."#9"Supply"	""#9"EQUIPMENT & STORES|FINANCIAL MANAGEMENT"#9"Financial Assistance"#9"BUDGETING|GRANT FUNDING"	"RMO Keyword AAA"	"activity descriptor"	""
"ALLOWANCES"	"The activities involved in arranging and managing money paid to employees in addition to salary to cover expenses incurred in the course of employment, e.g. travelling allowances.  The type of allowances and the maximum amounts payable are defined by the Personnel Handbook."#9""	""#9"FLEET MANAGEMENT|INDUSTRIAL RELATIONS|PERSONNEL|STAFF DEVELOPMENT"#9"Advances (financial)|Entitlements|Higher Duties|Tollpasses|Travel|Volunteers"#9""	"RMO Keyword AAA"	"activity descriptor"	""
"Alterations"	"Changes made to a physical object without changing the nature of the object itself."#9"Building (conversion work)|Changes|Conversions|Renovations"	""#9"CONSTRUCTION|FIT-OUTS"#9""#9"Specifications"	"RMO Keyword AAA"	"subject descriptor"	""
"Alternate Dispute Resolution (ADR)"	""#9"ADR"	""#9"CUSTOMER SERVICE|INDUSTRIAL ACTION|POLICY"#9""#9"Arbitration"	"RMO Keyword AAA"	"subject descriptor"	""
"Amalgamations"	"Refers to amalgamations of entire governments and parts of government and other organisations."#9""	""#9"RESTRUCTURING"#9""#9""	"RMO Keyword AAA"	"subject descriptor"	""
"Amendments"	"Changes to an Act, Regulation, or Bill."#9"Changes"	""#9"LEGISLATION"#9""#9""	"RMO Keyword AAA"	"subject descriptor"	""
"Amenities"	"Recreational areas, equipment and stores provided for personnel, visitors and persons served by the organisation. Includes playing fields, recreation rooms, toilets, kitchens, snack bars etc.

See Facilities for work areas provided separate to general office working areas like conference rooms and reception areas.

Tip: As an alternative, add the type of amenity as free text e.g. PROPERTY MANAGEMENT - MAINTENANCE - Gymnasium (GYM)."#9"Cafeterias"	""#9"CONSTRUCTION|MAINTENANCE"#9""#9"Closure"	"RMO Keyword AAA"	"subject descriptor"	""
"Annual Report"	"Tip: PUBLICATION -DRAFTING - Annual Report may be used for the drafting process, and PUBLICATION - PRODUCTION - Annual Report for the design of the Annual Report. GOVERNMENT RELATIONS - REPORTING - Annual Report may be used for the submission of the final report to the Minister. INFORMATION MANAGEMENT - ACQUISITION  may be used for classifying correspondence regarding reports received by the organisation. Place the reports in the organisation's library or information centre. Link the file and reports intellectually."#9""	""#9"ACQUISITION|DRAFTING|MEETINGS|PRODUCTION|REPORTING"#9""#9""	"RMO Keyword AAA"	"subject descriptor"	""
"Anti-Discrimination"	"Measures taken to prevent discrimination in the workplace.

See Discrimination for claims, discipline and grievances regrading discrimination in the workplace.
"#9""	""#9"IMPLEMENTATION|POLICY|PROCEDURES|REVIEWING"#9""#9"Access and Equity|Anti-Discrimination Board|Discrimination|Equal Employment Opportunity (EEO)|Equal Opportunity Tribunal|Harassment|Persons with Disabilities"	"RMO Keyword AAA"	"subject descriptor"	""
"Anti-Discrimination Board"	"The Board investigates and conciliates complaints under the Anti-Discrimination Act. Complaints may be referred, following investigation, to the Equal Opportunity Tribunal."#9""	""#9"GRIEVANCES"#9""#9"Anti-Discrimination|Equal Opportunity Tribunal"	"RMO Keyword AAA"	"subject descriptor"	""
"Appeal Book"	""#9""	""#9"APPEALS (decisions)"#9""#9""	"RMO Keyword AAA"	"subject descriptor"	""
